latitude,longitude,vegetation_height_m,terrain_height_m,canopy_height_m,measurement_date,distance_from_query_km,cached_at,has_data
34.031074717758926,-118.18890314275536,1.008290153570364e-31,2.443864521782481e-42,1.008290153570364e-31,Unknown,0.3293196095012937,2026-02-21T18:28:38.175783,
34.0369120752449,-118.1895663158611,4.848409300554467e-22,3.0268046829416053e-43,4.848409300554467e-22,Unknown,0.5628885907145356,2026-02-21T18:28:41.883560,
34.06907209863917,-118.23086150479288,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,3.157071894188345,2026-02-21T18:28:45.432752,
34.0553411165401,-118.19173588904924,1.934789222131417e-30,2.9416057363106555e-41,1.934789222131417e-30,Unknown,2.333813950667445,2026-02-21T18:28:48.947662,
34.06153057974271,-118.2317481589366,4.6830912527720034e-30,2.9416057363106555e-41,4.6830912527720034e-30,Unknown,1.007880812212041,2026-02-21T18:28:52.358065,
34.08684484337509,-118.21253031956071,4.89697384979928e-22,3.583120173278557e-42,4.89697384979928e-22,Unknown,0.1744708246349816,2026-02-21T18:28:55.888445,
34.09913931497451,-118.21301487153802,2.6089080360906984e-29,5.2534679427537386e-42,2.6089080360906984e-29,Unknown,0.8277346448790377,2026-02-21T18:28:59.455916,
34.10034327144963,-118.19697432329583,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,1.2427252548822152,2026-02-21T18:29:02.821354,
34.085798359419464,-118.22755868853378,2.8815956115722656,5.324934164434305e-44,2.8815956115722656,Unknown,0.603757785496994,2026-02-21T18:29:06.256648,
34.09535431790967,-118.22782423374622,7.764386570797141e-31,2.9416057363106555e-41,7.764386570797141e-31,Unknown,0.8267826681275074,2026-02-21T18:29:09.708353,
34.093590629222284,-117.97170709834472,2.211019345153452e-26,2.9416057363106555e-41,2.211019345153452e-26,Unknown,2.8542088830612062,2026-02-21T18:29:14.182618,
34.0965834479624,-118.00651648740028,2.211019345153452e-26,2.9416057363106555e-41,2.211019345153452e-26,Unknown,3.5237426730900965,2026-02-21T18:29:17.719466,
34.077790696660024,-117.97471022438094,2.355652043567645e-36,2.972154042832937e-42,2.355655092793103e-36,Unknown,1.2199103381603191,2026-02-21T18:29:21.170332,
34.160230275697685,-118.25983632998958,3.3737477800803404e-31,2.9416057363106555e-41,3.3737477800803404e-31,Unknown,1.8912473146593367,2026-02-21T18:29:24.663492,
34.14819017211954,-118.28964737417574,8.094119643971836e-27,2.155197038131569e-42,8.094119643971836e-27,Unknown,0.9836921042324608,2026-02-21T18:29:28.028372,
34.140680788000715,-118.29678889768329,7.764386570797141e-31,2.9416057363106555e-41,7.764386570797141e-31,Unknown,1.9016323605879613,2026-02-21T18:29:31.468971,
34.140680788000715,-118.29678889768329,1.534837303430347e-38,1.0509738482436128e-43,1.5348478131688292e-38,Unknown,2.222784808747865,2026-02-21T18:29:35.048836,
34.10336992948827,-118.26016186245904,3.3737477800803404e-31,2.9416057363106555e-41,3.3737477800803404e-31,Unknown,2.76187482866402,2026-02-21T18:29:38.551888,
34.12549216711362,-118.2576027815235,1.0993208122562342e-29,2.9416057363106555e-41,1.0993208122562342e-29,Unknown,1.3226831765865998,2026-02-21T18:29:42.633692,
34.10390675056456,-118.2654607001784,7.764386570797141e-31,2.9416057363106555e-41,7.764386570797141e-31,Unknown,1.0867635824103987,2026-02-21T18:29:46.215813,
34.10362975748261,-118.26641703512044,2.211019345153452e-26,2.9416057363106555e-41,2.211019345153452e-26,Unknown,1.8230507265197309,2026-02-21T18:29:49.622884,
34.08549907508218,-118.22759140994172,3.3737477800803404e-31,2.9416057363106555e-41,3.3737477800803404e-31,Unknown,1.5008326586242506,2026-02-21T18:29:52.993194,
34.08569335547569,-118.22757007846896,2.0079687741982032e-38,2.9416057363106555e-41,2.010910379934513e-38,Unknown,1.2628394360590585,2026-02-21T18:29:56.478344,
